City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
tuatapere,-46.1333,167.6833,60.94,68.0,88.0,6.62,NZ,1674628201.0
kaitangata,-46.2817,169.8464,62.38,79.0,47.0,4.45,NZ,1674628202.0
khatanga,71.9667,102.5,-21.68,87.0,100.0,3.38,RU,1674628204.0
pacific grove,36.6177,-121.9166,50.65,82.0,0.0,5.75,US,1674628207.0
hermanus,-34.4187,19.2345,62.8,49.0,0.0,10.27,ZA,1674628208.0
puerto madryn,-42.7692,-65.0385,63.52,34.0,6.0,6.13,AR,1674628209.0
hay river,60.8156,-115.7999,6.78,85.0,100.0,2.3,CA,1674628211.0
dzhusaly,,,,,,,,
bredasdorp,-34.5322,20.0403,66.31,43.0,0.0,6.64,ZA,1674628214.0
fernandopolis,-20.2839,-50.2464,68.31,92.0,0.0,1.19,BR,1674628215.0
jamestown,42.097,-79.2353,28.71,72.0,0.0,4.61,US,1674627968.0
iqaluit,63.7506,-68.5145,-25.31,67.0,0.0,28.99,CA,1674628206.0
bethel,41.3712,-73.414,35.69,68.0,100.0,3.44,US,1674628217.0
constitucion,-35.3333,-72.4167,56.68,70.0,0.0,8.32,CL,1674628219.0
san luis,-33.295,-66.3356,68.59,64.0,62.0,11.27,AR,1674628220.0
handwara,,,,,,,,
yellowknife,62.456,-114.3525,-5.28,77.0,75.0,3.44,CA,1674628222.0
wangkui,46.8333,126.5,-3.53,78.0,21.0,2.46,CN,1674628224.0
port alfred,-33.5906,26.891,68.18,73.0,100.0,5.01,ZA,1674628225.0
loukhi,66.0764,33.0381,33.94,98.0,100.0,13.8,RU,1674628225.0
albany,42.6001,-73.9662,31.68,81.0,69.0,4.5,US,1674627896.0
isangel,-19.55,169.2667,89.71,66.0,75.0,4.61,VU,1674628227.0
rio grande,-32.035,-52.0986,69.91,84.0,1.0,7.36,BR,1674628228.0
moron,-34.6534,-58.6198,78.55,64.0,0.0,8.7,AR,1674628228.0
ponta delgada,37.7333,-25.6667,57.92,77.0,75.0,11.5,PT,1674628230.0
kloulklubed,7.0419,134.2556,82.9,80.0,99.0,16.42,PW,1674628230.0
hithadhoo,-0.6,73.0833,81.59,75.0,100.0,11.68,MV,1674628231.0
hilo,19.7297,-155.09,73.27,90.0,40.0,4.61,US,1674627950.0
cape town,-33.9258,18.4232,67.1,49.0,0.0,16.11,ZA,1674628232.0
avarua,-21.2078,-159.775,78.85,78.0,13.0,3.44,CK,1674628233.0
castro,-24.7911,-50.0119,59.47,90.0,0.0,2.51,BR,1674628234.0
faanui,-16.4833,-151.75,81.23,77.0,100.0,15.77,PF,1674628235.0
saint-michel-des-saints,46.6834,-73.9159,-10.43,100.0,87.0,1.79,CA,1674628235.0
methven,-43.6333,171.65,66.02,74.0,96.0,4.0,NZ,1674628236.0
new norfolk,-42.7826,147.0587,80.89,31.0,83.0,5.01,AU,1674628237.0
zephyrhills,28.2336,-82.1812,68.85,81.0,0.0,4.61,US,1674628193.0
puerto ayora,-0.7393,-90.3518,74.55,96.0,11.0,3.11,EC,1674628238.0
dikson,73.5069,80.5464,0.01,92.0,100.0,27.58,RU,1674628239.0
ribeira grande,38.5167,-28.7,57.78,90.0,13.0,5.01,PT,1674628239.0
bluff,-46.6,168.3333,60.13,74.0,80.0,9.51,NZ,1674628240.0
kununurra,-15.7667,128.7333,93.18,52.0,40.0,12.66,AU,1674628241.0
comodoro rivadavia,-45.8667,-67.5,57.06,41.0,0.0,18.41,AR,1674628229.0
ondangwa,-17.9167,15.95,78.8,21.0,0.0,5.75,NA,1674628242.0
kapaa,22.0752,-159.319,73.38,83.0,75.0,4.61,US,1674628242.0
banjar,-8.19,114.9675,85.55,70.0,93.0,3.02,ID,1674628243.0
mataura,-46.1927,168.8643,63.43,60.0,45.0,6.42,NZ,1674628244.0
san patricio,28.017,-97.5169,55.24,57.0,0.0,14.14,US,1674628244.0
itarema,-2.9248,-39.9167,74.97,89.0,30.0,3.27,BR,1674628245.0
klaksvik,62.2266,-6.589,43.72,83.0,81.0,23.69,FO,1674628246.0
wazzan,,,,,,,,
saldanha,-33.0117,17.9442,64.45,58.0,0.0,18.77,ZA,1674628252.0
chokurdakh,70.6333,147.9167,-29.49,97.0,100.0,2.15,RU,1674628253.0
kavieng,-2.5744,150.7967,83.14,69.0,100.0,7.43,PG,1674628253.0
magadan,59.5667,150.8,2.53,90.0,100.0,10.54,RU,1674628254.0
hamilton,39.1834,-84.5333,38.25,86.0,100.0,13.8,US,1674628255.0
rio gallegos,-51.6226,-69.2181,55.45,38.0,0.0,20.71,AR,1674628255.0
east london,-33.0153,27.9116,67.14,77.0,100.0,10.36,ZA,1674628256.0
codrington,-38.2667,141.9667,68.2,53.0,96.0,20.13,AU,1674628257.0
illoqqortoormiut,,,,,,,,
ntungamo,-0.8833,29.65,79.34,46.0,8.0,1.9,UG,1674628258.0
ngukurr,,,,,,,,
rawson,-43.3002,-65.1023,61.5,35.0,3.0,8.68,AR,1674628252.0
provideniya,64.3833,-173.3,-7.01,76.0,0.0,11.36,RU,1674628260.0
barentsburg,,,,,,,,
cidreira,-30.1811,-50.2056,75.15,88.0,0.0,9.98,BR,1674628261.0
talnakh,69.4865,88.3972,-7.8,98.0,100.0,14.92,RU,1674628262.0
pontes e lacerda,-15.2261,-59.3353,70.68,96.0,100.0,2.33,BR,1674628263.0
marzuq,14.4,46.4667,70.9,40.0,4.0,6.64,YE,1674628264.0
lebu,-37.6167,-73.65,54.32,78.0,6.0,15.32,CL,1674628265.0
bousso,10.4795,16.7117,79.05,13.0,10.0,7.52,TD,1674628266.0
semey,50.4111,80.2275,16.02,79.0,100.0,15.66,KZ,1674628267.0
bubaque,11.2833,-15.8333,73.83,81.0,100.0,7.67,GW,1674628267.0
ponnani,10.767,75.9252,81.72,48.0,100.0,0.58,IN,1674628268.0
sinnamary,5.3833,-52.95,73.65,76.0,43.0,9.64,GF,1674628269.0
palana,59.1167,159.9667,9.45,71.0,54.0,11.59,RU,1674628270.0
palabuhanratu,,,,,,,,
pierre,44.3683,-100.351,29.32,74.0,100.0,24.16,US,1674628271.0
severobaykalsk,55.65,109.3167,-14.42,94.0,100.0,2.46,RU,1674628271.0
los llanos de aridane,28.6585,-17.9182,60.55,78.0,75.0,13.0,ES,1674628272.0
seoul,37.5683,126.9778,20.59,19.0,0.0,3.44,KR,1674628273.0
laguna,38.421,-121.4238,48.09,89.0,0.0,3.44,US,1674628274.0
paita,-5.0892,-81.1144,71.15,78.0,87.0,9.35,PE,1674628275.0
nikolskoye,59.7035,30.7861,31.91,93.0,100.0,10.76,RU,1674628275.0
banswara,23.55,74.45,72.55,25.0,0.0,5.37,IN,1674628276.0
alghero,40.5589,8.3181,46.49,87.0,75.0,9.22,IT,1674628277.0
saint-joseph,-21.3667,55.6167,80.98,86.0,100.0,6.55,RE,1674628278.0
plouzane,48.3833,-4.6167,41.05,87.0,100.0,8.05,FR,1674628279.0
ponta do sol,32.6667,-17.1,59.72,64.0,9.0,10.0,PT,1674628280.0
airai,-8.9266,125.4092,68.7,81.0,93.0,2.26,TL,1674628281.0
atar,20.5169,-13.0499,66.36,19.0,10.0,6.62,MR,1674628283.0
college,64.8569,-147.8028,4.8,80.0,75.0,3.44,US,1674628284.0
paamiut,61.994,-49.6678,37.06,70.0,100.0,55.25,GL,1674628285.0
dunkirk,51.05,2.3667,33.26,43.0,79.0,1.01,FR,1674628286.0
praia da vitoria,38.7333,-27.0667,57.76,94.0,75.0,18.19,PT,1674628287.0
petropavlovsk-kamchatskiy,53.0452,158.6483,21.79,74.0,100.0,26.84,RU,1674628167.0
dzilam gonzalez,21.2833,-88.9333,72.52,89.0,11.0,6.91,MX,1674628288.0
lisakovsk,52.5369,62.4936,13.14,87.0,25.0,11.79,KZ,1674628289.0
berlevag,70.8578,29.0864,32.0,86.0,75.0,14.97,NO,1674628290.0
zhumadian,32.9794,114.0294,36.54,23.0,100.0,9.17,CN,1674628290.0
sydney,-33.8679,151.2073,86.9,66.0,20.0,14.97,AU,1674628039.0
grand river south east,,,,,,,,
makakilo city,21.3469,-158.0858,75.56,76.0,0.0,9.22,US,1674628297.0
thompson,55.7435,-97.8558,-7.44,77.0,100.0,0.0,CA,1674628202.0
severo-kurilsk,50.6789,156.125,29.59,96.0,100.0,65.07,RU,1674628298.0
ranong,9.9658,98.6348,80.53,65.0,75.0,14.23,TH,1674628298.0
hobart,-42.8794,147.3294,81.23,47.0,20.0,8.05,AU,1674628027.0
kristianstad,56.0313,14.1524,32.14,93.0,100.0,6.91,SE,1674628300.0
kruisfontein,-34.0033,24.7314,66.88,43.0,76.0,6.67,ZA,1674628301.0
cayenne,4.9333,-52.3333,69.84,100.0,40.0,0.0,GF,1674628205.0
upernavik,72.7868,-56.1549,5.18,93.0,99.0,4.14,GL,1674628302.0
oranjemund,-28.55,16.4333,65.07,63.0,1.0,15.77,NA,1674628302.0
winter garden,28.5653,-81.5862,63.81,88.0,97.0,1.99,US,1674628104.0
henties bay,-22.116,14.2845,64.6,85.0,95.0,7.54,NA,1674628303.0
necochea,-38.5473,-58.7368,58.14,60.0,0.0,5.1,AR,1674628304.0
aklavik,68.2191,-135.0107,-2.87,92.0,100.0,11.14,CA,1674628305.0
kamenskoye,,,,,,,,
nizhneyansk,,,,,,,,
mahibadhoo,3.7833,72.9667,79.38,77.0,82.0,4.23,MV,1674628306.0
port elizabeth,-33.918,25.5701,69.1,66.0,0.0,14.97,ZA,1674628307.0
kodiak,57.79,-152.4072,36.91,100.0,100.0,3.44,US,1674628307.0
taolanaro,,,,,,,,
bay roberts,47.5999,-53.2648,34.34,82.0,51.0,11.01,CA,1674628270.0
grand-santi,4.25,-54.3833,66.36,99.0,29.0,1.9,GF,1674628159.0
sao filipe,14.8961,-24.4956,69.13,70.0,100.0,7.45,CV,1674628309.0
kannangad,12.3081,75.1063,81.27,72.0,59.0,4.88,IN,1674628310.0
saleaula,,,,,,,,
zhanakorgan,43.9098,67.2495,27.48,58.0,13.0,8.03,KZ,1674628311.0
taunggyi,20.7833,97.0333,77.0,20.0,0.0,6.42,MM,1674628312.0
richards bay,-28.783,32.0377,74.43,86.0,99.0,18.72,ZA,1674628313.0
bur gabo,,,,,,,,
coihaique,-45.5752,-72.0662,49.95,66.0,100.0,2.3,CL,1674628314.0
taltal,-25.4,-70.4833,67.35,88.0,71.0,2.73,CL,1674628314.0
omboue,-1.5746,9.2618,79.09,87.0,43.0,3.49,GA,1674628315.0
kavaratti,10.5669,72.642,78.1,81.0,100.0,13.98,IN,1674628316.0
san ignacio de sabaneta,,,,,,,,
amderma,,,,,,,,
okandja,,,,,,,,
wahiawa,21.5028,-158.0236,73.76,78.0,20.0,5.75,US,1674628317.0
egvekinot,66.3167,-179.1667,-16.33,85.0,10.0,12.8,RU,1674628318.0
lasa,46.6166,10.7002,32.88,72.0,41.0,3.51,IT,1674628227.0
buariki,,,,,,,,
paytug,,,,,,,,
kracheh,,,,,,,,
barth,54.3635,12.7249,30.09,90.0,43.0,10.67,DE,1674628320.0
te anau,-45.4167,167.7167,66.88,43.0,99.0,4.25,NZ,1674628321.0
grindavik,63.8424,-22.4338,33.75,80.0,40.0,24.16,IS,1674628322.0
duku,11.2361,4.9073,73.35,18.0,4.0,5.12,NG,1674628323.0
havre-saint-pierre,50.2334,-63.5986,15.8,57.0,0.0,13.8,CA,1674628324.0
launceston,-41.45,147.1667,74.84,59.0,100.0,24.16,AU,1674628325.0
devils lake,48.1128,-98.8651,-0.29,85.0,0.0,13.8,US,1674628331.0
esperance,-33.8667,121.9,69.93,69.0,3.0,16.15,AU,1674628332.0
havre,49.5833,0.3333,36.19,93.0,100.0,3.44,FR,1674628333.0
south sioux city,42.4739,-96.4136,22.19,86.0,0.0,6.91,US,1674628334.0
yar-sale,66.8333,70.8333,3.92,95.0,100.0,7.34,RU,1674628334.0
tsihombe,,,,,,,,
aswan,24.0934,32.907,65.46,33.0,0.0,8.59,EG,1674628336.0
sainte-anne-des-monts,49.124,-66.4924,17.47,67.0,100.0,19.57,CA,1674628133.0
aquiraz,-3.9014,-38.3911,77.18,88.0,25.0,4.5,BR,1674628337.0
skibbereen,51.55,-9.2667,48.11,98.0,100.0,6.62,IE,1674628338.0
zhangjiakou,40.81,114.8794,15.24,17.0,0.0,1.43,CN,1674628339.0
ishigaki,24.3448,124.1572,60.93,72.0,75.0,13.8,JP,1674628341.0
luderitz,-26.6481,15.1594,69.96,55.0,59.0,18.03,NA,1674628342.0
marystown,47.1666,-55.1483,32.72,75.0,98.0,19.64,CA,1674628343.0
callaway,30.153,-85.5699,64.98,86.0,100.0,14.97,US,1674628343.0
san quintin,30.4833,-115.95,54.18,56.0,100.0,1.48,MX,1674628345.0
puro,12.4841,123.3827,77.58,80.0,88.0,23.49,PH,1674628345.0
nanortalik,60.1432,-45.2371,36.41,92.0,100.0,46.1,GL,1674628346.0
namibe,-15.1961,12.1522,76.64,77.0,60.0,2.86,AO,1674628348.0
rundu,-17.9333,19.7667,76.51,61.0,16.0,2.98,NA,1674628349.0
abu jubayhah,,,,,,,,
guarapari,-20.6667,-40.4975,73.89,98.0,100.0,8.3,BR,1674628350.0
camacupa,-12.0167,17.4833,63.7,86.0,100.0,1.97,AO,1674628351.0
labutta,,,,,,,,
coquimbo,-29.9533,-71.3436,62.33,100.0,0.0,5.75,CL,1674628352.0
mnogovershinnyy,53.9353,139.9242,-13.45,95.0,100.0,8.7,RU,1674628352.0
lotofaga,-13.9764,-171.8578,80.38,75.0,12.0,13.33,WS,1674628353.0
san vicente,-26.6167,-54.1333,68.04,58.0,0.0,1.57,AR,1674628354.0
mount gambier,-37.8333,140.7667,70.07,45.0,41.0,11.36,AU,1674628157.0
alyangula,-13.8483,136.4192,84.09,70.0,57.0,6.33,AU,1674628355.0
balkhash,46.844,74.9804,-3.39,84.0,20.0,4.47,KZ,1674628355.0
fuxin,42.0156,121.6589,20.61,12.0,0.0,9.93,CN,1674628356.0
mto wa mbu,-3.35,35.85,80.04,48.0,100.0,6.13,TZ,1674628357.0
nizhniy baskunchak,48.2198,46.8311,24.6,63.0,9.0,5.95,RU,1674628357.0
lorengau,-2.0226,147.2712,81.93,75.0,100.0,7.11,PG,1674628358.0
mahebourg,-20.4081,57.7,75.49,94.0,75.0,6.91,MU,1674628359.0
ancud,-41.8697,-73.8203,51.58,86.0,35.0,2.3,CL,1674628359.0
norman wells,65.282,-126.8329,-2.16,84.0,75.0,5.75,CA,1674628360.0
lazi,48.0667,24.2333,30.76,81.0,15.0,4.61,UA,1674628361.0
grand gaube,-20.0064,57.6608,75.6,88.0,100.0,1.99,MU,1674628362.0
port lincoln,-34.7333,135.8667,68.29,58.0,24.0,16.31,AU,1674628363.0
yazman,29.1212,71.7446,63.81,17.0,0.0,3.31,PK,1674628363.0
port augusta,-32.5,137.7667,80.91,41.0,0.0,23.82,AU,1674628364.0
semenyih,2.9516,101.843,82.49,86.0,100.0,0.96,MY,1674628365.0
kewanee,41.2456,-89.9248,33.48,94.0,100.0,4.88,US,1674628365.0
umzimvubu,,,,,,,,
arman,59.7,150.1667,3.02,91.0,100.0,11.83,RU,1674628366.0
saskatoon,52.1168,-106.6345,21.18,92.0,100.0,10.0,CA,1674628340.0
outjo,-20.1167,16.15,72.0,59.0,35.0,7.09,NA,1674628367.0
hambantota,6.1241,81.1185,86.34,70.0,40.0,4.61,LK,1674628368.0
tautira,-17.7333,-149.15,80.65,82.0,47.0,16.93,PF,1674628374.0
uvat,59.1433,68.8953,16.34,90.0,100.0,13.2,RU,1674628375.0
cabedelo,-6.9811,-34.8339,77.67,76.0,0.0,7.7,BR,1674628375.0
dharchula,29.85,80.5333,61.25,64.0,100.0,4.88,IN,1674628376.0
zhongshu,24.5167,103.7667,63.54,41.0,5.0,13.49,CN,1674628377.0
sungaipenuh,-2.0833,101.3833,76.46,52.0,100.0,4.09,ID,1674628377.0
nishihara,26.1842,127.7558,58.28,55.0,40.0,11.5,JP,1674628378.0
pisco,-13.7,-76.2167,69.85,83.0,40.0,1.14,PE,1674628378.0
los aquijes,-14.0967,-75.6908,71.4,77.0,100.0,1.5,PE,1674628379.0
northview,43.0456,-85.6006,31.86,85.0,100.0,4.61,US,1674628380.0
sancti spiritus,21.9297,-79.4425,67.05,95.0,3.0,4.61,CU,1674628381.0
louisbourg,,,,,,,,
cherskiy,68.75,161.3,-24.61,97.0,100.0,1.03,RU,1674628382.0
yulara,-25.2406,130.9889,100.78,13.0,13.0,5.01,AU,1674628383.0
ginir,7.1333,40.7,67.28,41.0,12.0,6.69,ET,1674628384.0
broome,42.2506,-75.833,28.78,80.0,100.0,4.61,US,1674628385.0
swidnik,51.219,22.6962,33.69,100.0,100.0,2.3,PL,1674628386.0
nioro,13.35,-15.75,68.85,70.0,29.0,5.53,GM,1674628386.0
komsomolskiy,40.4272,71.7189,27.32,74.0,100.0,2.3,UZ,1674628387.0
velyka lepetykha,47.1757,33.9436,30.97,82.0,7.0,7.49,UA,1674628388.0
huescar,37.811,-2.5412,29.12,76.0,53.0,4.54,ES,1674628389.0
ilulissat,69.2167,-51.1,17.62,62.0,100.0,6.91,GL,1674628389.0
portsmouth,50.799,-1.0913,34.92,91.0,4.0,3.0,GB,1674628367.0
sisimiut,66.9395,-53.6735,17.74,71.0,100.0,15.19,GL,1674628391.0
moranbah,-22.0016,148.0466,90.57,36.0,0.0,12.17,AU,1674628392.0
santa cecilia,-26.9608,-50.4269,56.07,87.0,0.0,1.32,BR,1674628393.0
samalaeulu,,,,,,,,
saint-pierre,-21.3393,55.4781,82.08,65.0,0.0,2.3,RE,1674628395.0
frederico westphalen,-27.3592,-53.3944,65.34,60.0,7.0,1.97,BR,1674628234.0
haines junction,60.7522,-137.5108,23.85,97.0,100.0,3.89,CA,1674628396.0
victoria,22.2855,114.1577,60.94,65.0,95.0,8.01,HK,1674628256.0
imeni poliny osipenko,52.4201,136.4853,-7.37,97.0,100.0,13.6,RU,1674628398.0
verkhnevilyuysk,63.4453,120.3167,-45.94,100.0,98.0,1.97,RU,1674628398.0
meulaboh,4.1363,96.1285,84.52,65.0,35.0,12.68,ID,1674628399.0
vao,-22.6667,167.4833,80.26,82.0,25.0,10.69,NC,1674628400.0
clyde river,70.4692,-68.5914,-18.17,69.0,100.0,4.61,CA,1674628401.0
luau,-10.7073,22.2247,63.64,98.0,100.0,6.06,AO,1674628402.0
satitoa,,,,,,,,
iberia,29.9502,-91.7507,57.27,82.0,100.0,12.66,US,1674628405.0
mount pleasant,32.7941,-79.8626,54.0,92.0,100.0,1.01,US,1674628290.0
mandalgovi,45.7625,106.2708,4.44,52.0,100.0,14.88,MN,1674628407.0
salalah,17.0151,54.0924,77.09,61.0,75.0,10.36,OM,1674628408.0
kirkwall,58.9848,-2.9587,46.96,87.0,40.0,18.41,GB,1674628412.0
geraldton,-28.7667,114.6,86.41,45.0,0.0,20.71,AU,1674628284.0
willmar,45.1219,-95.0433,24.75,86.0,100.0,6.91,US,1674628414.0
isla aguada,18.7833,-91.4667,77.04,76.0,87.0,18.28,MX,1674628419.0
yirol,,,,,,,,
carutapera,-1.195,-46.02,73.53,95.0,100.0,2.98,BR,1674628421.0
san andres,12.5847,-81.7006,80.62,78.0,40.0,17.27,CO,1674628422.0
pathein,16.7833,94.7333,91.74,25.0,26.0,4.38,MM,1674628422.0
santo nino,6.435,124.6975,79.63,73.0,100.0,4.79,PH,1674628428.0
chuy,-33.6971,-53.4616,63.27,77.0,79.0,5.77,UY,1674628429.0
sendafa,9.15,39.0333,62.6,32.0,40.0,5.32,ET,1674628430.0
carnarvon,-24.8667,113.6333,83.86,63.0,0.0,21.88,AU,1674628431.0
trairi,-3.2778,-39.2689,75.6,87.0,14.0,3.8,BR,1674628166.0
polewali,-3.4324,119.3435,83.07,81.0,99.0,5.48,ID,1674628432.0
darnah,32.767,22.6367,56.73,72.0,89.0,12.93,LY,1674628433.0
ahipara,-35.1667,173.1667,67.23,69.0,86.0,11.61,NZ,1674628434.0
olafsvik,64.8945,-23.7142,32.38,65.0,99.0,8.79,IS,1674628434.0
eyl,7.9803,49.8164,79.5,53.0,11.0,21.3,SO,1674628435.0
le port,-20.9373,55.2919,82.4,85.0,100.0,7.72,RE,1674628436.0
galle,6.0367,80.217,79.25,77.0,69.0,5.57,LK,1674628437.0
batagay,67.6333,134.6333,-56.27,99.0,97.0,1.86,RU,1674628438.0
chikoy,,,,,,,,
mae hong son,19.3003,97.9685,82.54,44.0,20.0,4.61,TH,1674628439.0
la ronge,55.1001,-105.2842,17.85,86.0,100.0,3.44,CA,1674628439.0
tasbuget,,,,,,,,
nago,26.5881,127.9761,57.63,66.0,99.0,12.95,JP,1674628441.0
bambanglipuro,-7.95,110.2833,83.07,75.0,100.0,12.12,ID,1674628441.0
luganville,-15.5333,167.1667,82.47,81.0,69.0,7.14,VU,1674628442.0
kassala,15.451,36.4,76.91,60.0,7.0,9.04,SD,1674628443.0
mehamn,71.0357,27.8492,31.95,100.0,40.0,9.22,NO,1674628444.0
ust-maya,60.4167,134.5333,-48.33,98.0,100.0,0.72,RU,1674628445.0
cairns,-16.9167,145.7667,90.1,58.0,100.0,11.5,AU,1674628446.0
amapa,1.0,-52.0,68.81,99.0,100.0,3.02,BR,1674628447.0
bokoro,12.3807,17.0568,75.36,12.0,96.0,10.42,TD,1674628448.0
belyy yar,53.6039,91.3903,21.09,62.0,100.0,17.9,RU,1674628448.0
novopokrovka,49.8425,36.5477,27.37,68.0,0.0,4.9,UA,1674628449.0
kabare,-2.4683,28.8242,69.17,77.0,24.0,0.72,CD,1674628450.0
tilichiki,60.4667,166.1,9.21,82.0,100.0,10.38,RU,1674628450.0
kulhudhuffushi,6.6221,73.07,79.25,80.0,98.0,12.06,MV,1674628451.0
yenangyaung,20.4667,94.8833,86.58,20.0,34.0,2.91,MM,1674628452.0
lavrentiya,65.5833,-171.0,-15.25,92.0,5.0,13.6,RU,1674628453.0
kuche,,,,,,,,
broken hill,-31.95,141.4333,96.96,12.0,0.0,13.67,AU,1674628380.0
gat,31.61,34.7642,64.4,100.0,0.0,2.48,IL,1674628264.0
fairbanks,64.8378,-147.7164,6.22,79.0,75.0,3.44,US,1674628380.0
mubi,10.2676,13.2644,76.21,16.0,13.0,1.43,NG,1674628455.0
simao,22.7886,100.9748,70.95,41.0,6.0,4.07,CN,1674628456.0
tamisan,6.8437,126.2984,77.74,84.0,100.0,3.53,PH,1674628457.0
meru,0.0463,37.6559,69.8,58.0,3.0,4.97,KE,1674628457.0
san jose,37.3394,-121.895,53.98,64.0,0.0,5.75,US,1674628163.0
varna,43.2167,27.9167,33.94,88.0,100.0,11.5,BG,1674628458.0
mayumba,-3.432,10.6554,79.11,81.0,100.0,4.61,GA,1674628459.0
atambua,-9.1061,124.8925,80.42,73.0,100.0,6.04,ID,1674628460.0
marawi,7.9986,124.2928,69.96,87.0,100.0,4.16,PH,1674628461.0
truro,50.2653,-5.0544,38.48,100.0,100.0,4.61,GB,1674628166.0
vaasa,63.096,21.6158,37.42,93.0,75.0,16.11,FI,1674628462.0
high level,58.5169,-117.136,1.51,92.0,0.0,0.0,CA,1674628210.0
mrirt,,,,,,,,
bologoye,57.8799,34.1068,27.09,93.0,100.0,7.31,RU,1674628469.0
tabuk,17.4189,121.4443,66.51,88.0,100.0,7.65,PH,1674628470.0
provost,52.3501,-110.2683,30.65,87.0,95.0,10.87,CA,1674628471.0
narsaq,60.9167,-46.05,37.62,89.0,100.0,25.03,GL,1674628471.0
vostok,46.4856,135.8833,-17.7,95.0,100.0,9.8,RU,1674628472.0
lukovetskiy,64.2956,41.9211,28.15,90.0,100.0,12.71,RU,1674628473.0
